Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
JOUBRACO,French,article,Journal de Brazza.com,Journal de Brazza.com,Journal de Brazza.com (French Language),Active,,Full Text,Full Coverage,20130711,20130627,"Website covering general, business, political, sports and cultural news of the Congo Republic. Country of origin: Congo Republic","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Congo Brazzaville. Pays d'origine: République du Congo",Monday-Friday,As available,As available,"Please note, there is a gap in coverage from 20 Feb 2018 to 19 Jul 2018.",YOGAM,http://www.journaldebrazza.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Congo Republic (CONGO),20210122
JOCONCO,French,article,Journal de Conakry.com,Journal de Conakry.com,Journal de Conakry.com (French Language),Active,,Full Text,Full Coverage,20140611,20140516,"Website covering the general, business, political, sport and cultural events in the capital city of Conakry. Country of origin: Guinea","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle de la Guinée-Conakry. Pays d'origine: Guinée",Daily,As available,As available,"Please note, there is a gap in coverage from 20 Feb 2018 to 19 Jul 2018.",YOGAM,http://www.journaldeconakry.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Guinea (GUREP); West Africa (WAFR),20210122
JOKICO,French,article,Journal de Kin.com,Journal de Kin.com,Journal de Kin.com (French Language),Active,,Full Text,Full Coverage,20130711,20130620,"Website covering the general, business, political, sport and cultural events of the Democratic Republic of the Congo. Country of origin: Democratic Republic of the Congo","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle de la République Démocratique du Congo. Pays d'origine: République Démocratique du Congo",Daily,As available,As available,"Please note, there is a gap in coverage from 22 Mar 2018 to 19 Jul 2018.",YOGAM,http://www.journaldekin.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Democratic Republic of the Congo (ZAIRE),20210122
JOUREU,French,article,Le Journal de l'Île de la Réunion,Le Journal de l'Île de la Réunion,Le Journal de l'Île de la Réunion (French Language),Active,,Full Text,Full Coverage,20131126,20130801,"Daily newspaper covering local and regional events at the social, political, business, cultural and sport levels. Region of origin: Réunion","Quotidien d’information, le Journal de l’île de la Réunion couvre l’actualité sociale, politique, économique, culturelle et sportive au niveau local et régional. Région d’origine: La Réunion",Daily,Start of local business day,7 a.m. (GMT),"Jan 21st, Feb 14th and 18th, Oct 9th and 10th 2015 editions not available due to technical problems on the IP's side. | Covers the unique print edition | Supplements are not covered | Includes premium and exclusive content | Does not include tables",JOIRN1,http://clicanoo.re,JOIRN,Le Journal de l'Île de la Réunion,35000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Reunion (REUNI),20210122
JOMALCO,French,article,Journal de Malabo.com,Journal de Malabo.com,Journal de Malabo.com (French Language),Active,,Full Text,Full Coverage,20130711,20130613,"Website covering the general, business, political, sport and cultural events of Equatorial Guinea. Country of origin: Equatorial Guinea","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle de la Guinée Equatoriale. Pays d'origine: Guinée Equatoriale",Irregular,Continuously updated,As available,,YOGAM,http://www.journaldemalabo.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Equatorial Guinea (EQGNA),20210122
JOBENI,French,article,Journal du Bénin.com,Journal du Bénin.com,Journal du Bénin.com (French Language),Active,,Full Text,Full Coverage,20140311,20140214,"Website covering general, business, political, sports and cultural news in Benin. Country of origin: Benin","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Bénin. Pays d'origine: Bénin","Daily source, irregular weekend edition",Same day as publication date,"Daily, as available",,YOGAM,http://www.journaldubenin.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Benin (BENIN); West Africa (WAFR),20210120
JOCEN,English,article,Journal du Cameroun.com,Journal du Cameroun.com,Journal du Cameroun.com,Active,,Full Text,Full Coverage,20180103,20180103,"Website covering general, business, political, sport and cultural news from Cameroon. Country of origin: Cameroon","Website covering general, business, political, sport and cultural news from Cameroon. Country of origin: Cameroon",Monday-Friday,As available,As available,,YOGAM,http://www.journalducameroun.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20210122
JOCACO,French,article,Journal du Cameroun.com,Journal du Cameroun.com,Journal du Cameroun.com (French Language),Active,,Full Text,Full Coverage,20130515,20130430,"Website covering general, business, political, sport and cultural news of Cameroon. Country of origin: Cameroon","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Cameroun. Pays d'origine: Cameroun",Monday-Friday,As available,As available,"Please note, there is a gap in coverage from 21 Feb 2018 to 19 Jul 2018.",YOGAM,http://www.journalducameroun.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Cameroon (CAMER); Central Africa (CEAFR),20210122
JOFASCO,French,article,Journal du Faso.com,Journal du Faso.com,Journal du Faso.com (French Language),Active,,Full Text,Full Coverage,20130715,20130715,"Website covering the general, business, political, sports and cultural events of Burkina Faso. Country of origin: Burkina Faso","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Burkina Faso. Pays d'origine: Burkina Faso",Daily,Continuously updated,"Daily, as available",,YOGAM,http://www.journaldufaso.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Burkina Faso (UPVOLA); West Africa (WAFR),20210113
JOGABCO,French,article,Journal du Gabon.com,Journal du Gabon.com,Journal du Gabon.com (French Language),Active,,Full Text,Full Coverage,20130711,20130626,"Website covering the general, business, political, sport and cultural events of Gabon. Country of origin: Gabon","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Gabon. Pays d'origine: Gabon",Daily,As available,"Daily, as available",,YOGAM,http://www.journaldugabon.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Gabon (GABON),20210119
JOMALIC,French,article,Journal du Mali.com,Journal du Mali.com,Journal du Mali.com (French Language),Active,,Full Text,Full Coverage,20130711,20130704,"Website covering general, business, political, sport and cultural news of Mali. Country of origin: Mali","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Mali. Pays d'origine: Mali",Daily,As available,As available,"Please note, there is a gap in coverage from 22 Mar 2018 to 19 Jul 2018.",YOGAM,http://www.journaldumali.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mali (MALI); West Africa (WAFR),20210122
JONICO,French,article,Journal du Niger.com,Journal du Niger.com,Journal du Niger.com (French Language),Active,,Full Text,Full Coverage,20140611,20140516,"Website covering the general, business, political, sport and cultural events in Niger. Country of origin: Niger","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Niger. Pays d'origine: Niger",Daily,Continuously updated,"Daily, as available",,YOGAM,http://www.journalduniger.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Benin (BENIN); West Africa (WAFR),20210122
JOSENCO,French,article,Journal du Sénégal.com,Journal du Sénégal.com,Journal du Sénégal.com (French Language),Active,,Full Text,Full Coverage,20140611,20140515,"Website covering general, business, political, sports and cultural news of Senegal. Country of origin: Senegal","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Sénégal. Pays d'origine: Sénégal",Daily,As available,"Daily, as available",,YOGAM,http://www.journaldusenegal.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
JOTCCO,French,article,Journal du Tchad.com,Journal du Tchad.com,Journal du Tchad.com (French Language),Active,,Full Text,Full Coverage,20130711,20130704,"Website covering general, business, political, sport and cultural news of Chad. Country of origin: Chad","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Tchad. Pays d'origine: Tchad",Irregular,Irregular,"Daily, as available",,YOGAM,http://www.journaldutchad.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Chad (CHAD),20210122
JOTOG,French,article,Journal du Togo.com,Journal du Togo.com,Journal du Togo.com (French Language),Active,,Full Text,Full Coverage,20140311,20140209,"Website covering general, business, political, sport and cultural news in Togo. Country of origin: Togo","Site web couvrant l’actualité générale, économique, politique, sportive et culturelle du Togo. Pays d'origine: Togo",Daily,Continuously updated,"Daily, as available",,YOGAM,http://www.journaldutogo.com,YOGAM,Cynomedia Africa SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Togo (TOGO); West Africa (WAFR),20210122
KENAG,English,article,Kenya News Agency,Kenya News Agency,Kenya News Agency,Active,,Full Text,Full Coverage,20190420,20190317,Kenya News Agency (KNA) specializes in news gathering and dissemination countrywide and beyond with emphasis on development news. It handles news and features on various topics. Country of origin: Kenya,Kenya News Agency (KNA) specializes in news gathering and dissemination countrywide and beyond with emphasis on development news. It handles news and features on various topics. Country of origin: Kenya,Daily,Same day as publication date,As available,Source is government owned or controlled.,ALBWBA,http://kenyanewsagency.go.ke/,PBKYNE,Kenya News Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
EKARDI,Arabic,article,El Khabar El Riadi,El Khabar El Riadi,"El Khabar El Riadi (Algeria, Arabic Language)",Active,,Full Text,Full Coverage,20161019,20161018,Daily online newspaper covering national and international football news. Country of origin: Algeria,Daily online newspaper covering national and international football news. Country of origin: Algeria,Daily,As available,As available,,ALBWBA,http://www.elkhabar.com,PBKABAR,El Khabar Spa,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210122
KOEXP,English,article,Kouga Express,Kouga Express,Kouga Express (South Africa),Active,,Full Text,Full Coverage,20190307,20190420,Kouga Express is a national newspaper in English and Afrikaans that’s distributed every Thursday. Country of origin: South Africa,Kouga Express is a national newspaper in English and Afrikaans that’s distributed every Thursday. Country of origin: South Africa,Daily,Same day as publication date,Thursday,,ALBWBA,https://www.news24.com/SouthAfrica/Local/Kouga-Express,PBTWFO,24.com,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210121
AKORAM,Arabic,article,Al Koura Wal Mala'eb,Al Koura Wal Mala'eb,"Al Koura Wal Mala'eb (Egypt, Arabic Language)",Discontinued,20190829.0,Full Text,Full Coverage,20110430,20100701,"Weekly sports newspaper, based in Cairo. Country of origin: Egypt","Weekly sports newspaper, based in Cairo. Country of origin: Egypt",Weekly,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.koura.net.eg,PBDBE,Dar al-Tahrir Printing and Publishing,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20181009
KTPRES,English,article,KT Press,KT Press,KT Press (Rwanda),Active,,Full Text,Full Coverage,20191213,20191211,KT Press is an online newspaper from Rwanda. Country of origin: Rwanda,KT Press is an online newspaper from Rwanda. Country of origin: Rwanda,"Daily source, irregular weekend edition",1 day after publication date,5 p.m. (GMT),,ASINET2,https://ktpress.rw,PBKITOL,Kigali Today Ltd.,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Rwanda (RWANDA),20210121
HLAVEN,French,article,L'Avenir,L'Avenir,"L'Avenir (Democratic Republic of the Congo, French Language)",Discontinued,20191219.0,Full Text,Full Coverage,20160512,20160510,A daily newspaper published from Kinshasa. Country of origin: Democratic Republic of the Congo,Journal quotidien de Kinshasa. Pays d'origine: République Démocratique du Congo.,Irregular,Discontinued,Not available,This source has stopped updating.,HINDU1,http://groupelavenir.org,PBGAVE,Groupe l'Avenir,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Central Africa (CEAFR); Democratic Republic of the Congo (ZAIRE),20190624
EMARAK,French,article,Lemag.ma,Lemag.ma,Lemag.ma (French Language),Discontinued,20201103.0,Full Text,Full Coverage,20110409,20110407,"Lemag.ma is a daily online news magazine in French language, covering news, business, culture and more from Morocco and the surrounding Mediterranean region. Previously known as eMarrakech. Country of origin: Morocco",Lemag.ma est un magazine quotidien en ligne et en français qui couvre les informations sur le Maroc et le reste de la Méditerranée. Précédemment connu sous le nom de eMarrakech. Pays d'origine: Maroc,Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.lemag.ma,ALBWBA,SyndiGate Media Inc,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20200129
HTLENA,English,article,The Lesotho News Agency,The Lesotho News Agency,The Lesotho News Agency,Discontinued,20190513.0,Full Text,Full Coverage,20170103,20161202,"National news agency, established in 1985. Country of origin: Lesotho","National news agency, established in 1985. Country of origin: Lesotho","Daily source, irregular weekend edition",Discontinued,Not available,The provider has changed its distribution strategy.,HINDU1,http://www.lena.org.ls/,PBLESOT,Lesotho News Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Lesotho (LESOT); Southern Africa (SOUAFR),20190507
LESTM,English,article,Lesotho Times,Lesotho Times,Lesotho Times,Active,,Full Text,Full Coverage,20190420,20190309,"Lesotho Times is a weekly  newspaper, reaching across regions of Lesotho and South Africa with coverage of general news, business, sport and other major interest areas. Country of origin: Lesotho","Lesotho Times is a weekly  newspaper, reaching across regions of Lesotho and South Africa with coverage of general news, business, sport and other major interest areas. Country of origin: Lesotho",Weekly,Same day as publication date,As available,,ALBWBA,http://lestimes.com,PBAFMH,Africa Media Holdings,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Lesotho (LESOT); Southern Africa (SOUAFR),20210119
LEXPMU,French,article,Lexpress.mu,Lexpress.mu,"Lexpress.mu (Mauritius, French Language)",Active,,Full Text,Full Coverage,20171115,20171014,Website of the daily Mauritian newspaper L’Express. Country of origin: Mauritius,Site internet du quotidien Mauricien L'Express. Pays d'origine: Île Maurice,Daily,As available,"Daily, as available",,LSLDIG,http://www.lexpress.mu,LSLDIG,La Sentinelle DIGITAL,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Mauritius (MAURTS),20210122
LIBRT,French,article,Liberté,Liberté,"Liberté (Algeria, French Language)",Active,,Full Text,Full Coverage,20190419,20190305,"Liberté is a national newspaper focusing on national and international news, business, culture and sport. It includes football supplement Liberté Foot on Mondays. Country of origin: Algeria","Liberté est un journal national consacré à l'actualité nationale et internationale, aux affaires, à la culture et au sport. Le journal inclut le supplément au football Liberté Foot le lundi. Pays d'origine: Algérie",Daily,Same day as publication date,As available,,ALBWBA,https://www.liberte-algerie.com/,PBSAEC,SAEC sarl,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210121
LBIAH,English,article,The Libya Herald,The Libya Herald,The Libya Herald,Active,,Full Text,Full Coverage,20190428,20190428,"The Libya Herald is an English-language newspaper. It covers every aspect of society in Libya including politics, business, sport, culture, education, construction and infrastructure, health issues, social stories, opinions and jobs. Country of origin: Libya","The Libya Herald is an English-language newspaper. It covers every aspect of society in Libya including politics, business, sport, culture, education, construction and infrastructure, health issues, social stories, opinions and jobs. Country of origin: Libya",Daily,As available,As available,,ALBWBA,https://www.libyaherald.com/,PBLIHE,The Libya Herald,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Libya (LIBYA); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
JAMNEA,English,article,Libya News Agency (LANA),Libya News Agency (LANA),Libya News Agency (LANA),Discontinued,20110814.0,Full Text,Full Coverage,20091211,20091020,"JANA is the official Libyan news agency. It was founded in 1964 by virtue of a government decree, which was amended in 1970 in the aftermath of the revolution. JANA has a staff of more than 300, the majority of which are journalists. Jana has 10 overseas offices in capital cities such as London, Paris, Rome, Valetta, Cairo, Tunis, Damascus and Rabat as well as a number of correspondents in different parts of the world. Country of origin: Libya","JANA is the official Libyan news agency. It was founded in 1964 by virtue of a government decree, which was amended in 1970 in the aftermath of the revolution. JANA has a staff of more than 300, the majority of which are journalists. Jana has 10 overseas offices in capital cities such as London, Paris, Rome, Valetta, Cairo, Tunis, Damascus and Rabat as well as a number of correspondents in different parts of the world. Country of origin: Libya",Daily,Discontinued,Not available,Suspended delivery: There are known delivery problems which are currently under investigation.,ALBWBA,http://www.albawaba.com,JANA,Libya News Agency (LANA),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Libya (LIBYA); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20110814
JANAL,Arabic,article,Libya News Agency (LANA),Libya News Agency (LANA),Libya News Agency (LANA) (Arabic Language),Active,,Full Text,Full Coverage,20120125,20120122,"News from LANA, the official Libyan news agency based in Tripoli. Formerly known as Jamahiriya News Agency. Country of origin: Libya","News from LANA, the official Libyan news agency based in Tripoli. Formerly known as Jamahiriya News Agency. Country of origin: Libya",Daily,Continuously updated,Throughout the day,Source is government owned or controlled.,ALBWBA,http://www.lana-news.ly,JANA,Libya News Agency (LANA),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Libya (LIBYA); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
AIWMAG,English,article,Mail & Guardian Online,Mail & Guardian Online,Mail & Guardian Online (South Africa),Active,,Full Text,Full Coverage,20050209,20050202,"Launched in 1994, this is the first internet-based news publication in Africa. Country of origin: South Africa","Launched in 1994, this is the first internet-based news publication in Africa. Country of origin: South Africa",Monday-Friday,1 day after publication date,7 a.m. (GMT),,OSHELF,http://www.mg.co.za,OSHELF,"On the Shelf Trading 44 (Pty) Limited, trading as Daily Mail and Guardian",,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210122
MLWIG,English,article,Malawi News Agency,Malawi News Agency,Malawi News Agency,Active,,Full Text,Full Coverage,20190420,20190306,"The Malawi News Agency (MANA) is a news gathering and disseminating organ of government under the Ministry of Information. It covers regional, national and international news and current affairs including politics, business, economy, entertainment, religion and sports. Country of origin: Malawi","The Malawi News Agency (MANA) is a news gathering and disseminating organ of government under the Ministry of Information. It covers regional, national and international news and current affairs including politics, business, economy, entertainment, religion and sports. Country of origin: Malawi",Daily,Same day as publication date,As available,Source is government owned or controlled.,ALBWBA,http://www.manaonline.gov.mw/,PBMICTM,"Ministry of Information, Communication and Technology- Malawi Government",,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Malawi (MALAW); Southern Africa (SOUAFR),20201126
MALIFR,French,article,Mali Actu,Mali Actu,Mali Actu (French Language),Active,,Full Text,Full Coverage,20160113,20151231,Online newspaper focused on the coverage of Mali and Africa. Country of origin: Mali,Journal en ligne axé sur l'actualité du Mali et de l'Afrique en général. Pays d'origine: Mali,Daily,Same day as publication date,"Daily, as available",,HINDU1,http://www.maliactu.net,PBGRSA,Groupe Solaire Angelots,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mali (MALI); West Africa (WAFR),20210122
MASRYM,Arabic,article,Al Masry Al-Youm,Al Masry Al-Youm,"Al Masry Al-Youm (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20131016,20131016,"Al Masry Al-Youm is the independent daily Arabic language newspaper from Egypt, covering local and international news, politics, business and sport. Country of origin: Egypt","Al Masry Al-Youm is the independent daily Arabic language newspaper from Egypt, covering local and international news, politics, business and sport. Country of origin: Egypt",Daily,Same day as publication date,"Daily, as available",,ALBWBA,https://www.almasryalyoum.com,ALMASY,"Al-Masry Al-Youm For Press, Publishing, Distribution & Advertising",240000.0,PUBLIC,Publicitas International,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
LMATI,French,article,Le Matin,Le Matin,"Le Matin (Morocco, French Language)",Active,,Full Text,Full Coverage,20161018,20161017,"National daily newspaper covering national and international news, business, politics and sports. Country of origin: Morocco","Quotidien national mettant l'accent sur l'actualité nationale et internationale, les affaires, la politique et le sport. Pays d'origine: Maroc",Monday-Saturday,As available,As available,,ALBWBA,http://lematin.ma,PBMATIN,Groupe Le Matin,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
LMAURIS,French,article,Le Mauricien,Le Mauricien,"Le Mauricien (Mauritius, French Language)",Active,,Full Text,Full Coverage,20161018,20161018,"National daily newspaper covering national and international news, politics, society, the economy and sports. Country of origin: Mauritius","Quotidien portant sur l'actualité nationale et internationale, la météo, sports, le style de vie,  les loisirs, les affaires et la politique. Pays d'origine: Mauritius",Daily,As available,As available,,ALBWBA,http://www.lemauricien.com,PBMAUR,Le Mauricien Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); East Africa (EAFR); Mauritius (MAURTS),20210122
MERCRY,English,article,The Mercury,The Mercury,The Mercury (South Africa),Active,,Full Text,Full Coverage,20061115,20061023,"The Mercury has been an integral part of KwaZulu-Natal province providing a deep understanding of the region. The Mercury deliveres news, sports, entertainment, and current world financial coverage. Country of origin: South Africa","The Mercury has been an integral part of KwaZulu-Natal province providing a deep understanding of the region. The Mercury deliveres news, sports, entertainment, and current world financial coverage. Country of origin: South Africa",Monday-Friday,Start of local business day,"6 a.m. (ET), Monday-Friday",Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/mercury,INONSA,Independent Online,24402.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201207
ALMES,Arabic,article,Al Messa,Al Messa,"Al Messa (Egypt, Arabic Language)",Discontinued,20190805.0,Full Text,Full Coverage,20110501,20110427,"Evening newspaper containing political, social and sports features. Country of origin: Egypt","Evening newspaper containing political, social and sports features. Country of origin: Egypt",Irregular,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.almessa.net.eg,PBDBE,Dar al-Tahrir Printing and Publishing,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20180925
MISDIS,English,article,Mist Company Disclosure,Mist Company Disclosure,Mist Company Disclosure,Active,,Full Text,Full Coverage,20191114,20190825,"Mist Company Disclosure reports include information about dividends, general assemblies, insider actions, balance sheets, income and cash flow statements and shareholder information in one full company report. Reports are available for more than 300 companies from Egypt. Country of origin: Egypt","Mist Company Disclosure reports include information about dividends, general assemblies, insider actions, balance sheets, income and cash flow statements and shareholder information in one full company report. Reports are available for more than 300 companies from Egypt. Country of origin: Egypt",Irregular,Same day as publication date,As available,,MISRT2,http://mist-net.com,MISRT,Misr Information Services and Trading,,,,CODATA,Company Data,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
MISTAR,Arabic,article,Mist News,Mist News,"Mist News (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20110809,20110801,"News from Misr Information Services & Trading, an Egyptian company specializing in the field of financial information services. Covers internet and local stock market information from the Egyptian Bourse. Country of origin: Egypt","News from Misr Information Services & Trading, an Egyptian company specializing in the field of financial information services. Covers internet and local stock market information from the Egyptian Bourse. Country of origin: Egypt",Sunday-Thursday,Continuously updated,Throughout the day,"Please note, this source is unavailable for Alerts.",MISRT1,http://www.mist-net.com,MISRT,Misr Information Services and Trading,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
MISTNW,English,article,Mist News,Mist News,Mist News (Egypt),Active,,Full Text,Selected Coverage,20060426,20060426,"News from Misr Information Services & Trading, an Egyptian company specializing in the field of financial information services. Covers internet  and local stock market information from the Egyptian Bourse. Country of origin: Egypt","News from Misr Information Services & Trading, an Egyptian company specializing in the field of financial information services. Covers internet  and local stock market information from the Egyptian Bourse. Country of origin: Egypt",Sunday-Thursday,Continuously updated,Throughout the day,"Please note, there is a gap in coverage from 27 January 2011 to 5 February 2011.",MISRT,http://mist-net.com/index.htm,MISRT,Misr Information Services and Trading,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
MISREP,English,article,Mist Reports,Mist Reports,Mist Reports,Active,,Full Text,Full Coverage,20191114,20190617,"Weekly, monthly, quarterly, semi-annual and annual reports and non-periodical market reports covering Egyptian Stock Market. Country of origin: Egypt","Weekly, monthly, quarterly, semi-annual and annual reports and non-periodical market reports covering Egyptian Stock Market. Country of origin: Egypt",Irregular,Same day as publication date,As available,,MISRT3,http://mist-net.com,MISRT,Misr Information Services and Trading,,,,MRKRES,Market Research & Industry Analysis/Reports,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
MEWMMR,English,article,Mmegi,Mmegi,Mmegi (Botswana),Active,,Full Text,Full Coverage,20161019,20161018,"National daily newspaper covering national and international news and current affairs including business, economics, politics, culture and sports. Country of origin: Botswana","National daily newspaper covering national and international news and current affairs including business, economics, politics, culture and sports. Country of origin: Botswana",Daily,As available,As available,,FTELP,http://mmegi.bw,PBDIKGA,Dikgang Publishing Company (DPC),,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Botswana (BOTS); Southern Africa (SOUAFR),20210122
MOBON,Portuguese,article,Moçambique Media Online,Moçambique Media Online,Moçambique Media Online (Portuguese Language),Active,,Full Text,Full Coverage,20210107,20210107,Moçambique Media Online (MMO) is one of the largest portals in Mozambique and the Portuguese content provider in Africa. Country of origin: Mozambique,Moçambique Media Online (MMO) is the largest portal in Mozambique and the Portuguese content provider in Africa. Country of origin: Mozambique,Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://noticias.mmo.co.mz,PBMOMO,Moçambique Media Online (MMO),,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Mozambique (MOZAM),20210122
TMNTO,English,article,The Monitor,The Monitor,The Monitor (Botswana),Active,,Full Text,Full Coverage,20161019,20161017,"National daily newspaper covering local and national news and current affairs including business, economics, politics, culture and sports. Country of origin: Botswana","National daily newspaper covering local and national news and current affairs including business, economics, politics, culture and sports. Country of origin: Botswana",Daily,As available,As available,,ALBWBA,http://www.mmegi.bw,PBDIKGA,Dikgang Publishing Company (DPC),,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Botswana (BOTS); Southern Africa (SOUAFR),20210122
